epoch,loss,val_loss
0,0.040784695835050976,0.41881685221896453
1,0.02106436147310101,0.15869543306967793
2,0.00890700125888248,0.1337628648890292
3,0.006335329622497493,0.12359158316736713
4,0.0065535602867335865,0.11835074446657125
5,0.005580379162180376,0.11596333246458979
6,0.004544937775593811,0.11120622194207766
7,0.0038822953309234536,0.10867435720694416
8,0.003275194089911639,0.10576680738150197
9,0.002888508839532733,0.1046260309898678
10,0.0026724920521578373,0.10369667298543979
11,0.002288441720412339,0.10119810686720644
12,0.0022425404531531967,0.10078298610032481
13,0.0021219491156099705,0.10012607520227046
14,0.002115909963617309,0.09936188405160518
15,0.0020115638487638804,0.09850944907349699
16,0.0020963793276924,0.09859354517367833
17,0.0019758528189315156,0.09706358439015116
18,0.001901838981457577,0.09822879115338712
19,0.0020053253817447535,0.09962211951942128
20,0.0019525101488397922,0.09869244656361201
21,0.0018679659525652234,0.09795806066626135
22,0.0017836883030336263,0.09836560939712559
23,0.0017842916910209366,0.09893501119907289
24,0.00183498081615481,0.0982882073149085
25,0.0018373240091023035,0.09829857214080061
26,0.001729257236965586,0.0991122974356746
27,0.001654780880434791,0.09963294874657602
