	Date	High	Low	Open	Close	Volume	Adj Close	Awesome	KAMA	MFI	ROC	RSI	Stochastic	Stochastic Signal	TSIIndicator	Ultimate	WilliamsRI	kama	ADI	ChaikinMF	EOM	ForceIndex	NVI	OBV	EoM	VPT	BolllingerHigh	BollingerHighIndicator	BollingerLow	BollingerLowIndicator	BollingerBandMovingAverage	DonchianHigh	DonchianHighIndicator	DonchianLow	DonchianLowIndicator	KeltnerChannelCentral	KeltnerChannelHigh	KeltnerChannelHighIndicator	KeltnerChannelLow	KeltnerChannelLowIndicator	AroonIndicator	AroonUp	CCI	DPO	EMA	Ichimoku_A	Ichimoku_B	KST	KSTSignal	MACD	MACDDiff	MACDSignal	MassIndex	PSAR_Down	PSAR_DownIndicator	PSAR_Up	PSAR_UpIndicator	TRIX	VortexIndicatorNeg	VortexIndicatorPos	CumulativeReturn	DailyLogReturn	DailyReturn
0	2019-09-09	9.050000190734863	8.729999542236328	8.75	8.960000038146973	49960500.0	8.942216873168945	0.0				100.0	71.87500931320687	71.87500931320687			-28.124990686793126		21857728.05584944	0.4375001862641375			1000.0	49960500.0		-7075491.048705261	8.960000038146973	0.0	8.960000038146973	0.0	8.960000038146973	8.960000038146973	1.0	8.960000038146973	1.0	8.913333257039389	8.913333257039389	0.0	8.593332608540853	0.0	4.0	4.0		1.6131730446448689		8.889999866485596	8.889999866485596	-152.57227248746705	-152.57227248746705				0.0		0.0		0.0				0.0		-15.257227248746707
1	2019-09-10	9.270000457763672	8.899999618530273	8.90999984741211	9.140000343322754	62617200.0	9.121859550476074	0.0				100.0	75.92594554882098	73.90047743101393	100.0		-24.074054451179023		40473713.44868504	0.35951803464349547	0.11522429486685166		1000.0	112577700.0	0.11522429486685166	-6364650.070808039	9.230000495910645	0.0	8.869999885559082	0.0	9.050000190734863	9.140000343322754	1.0	8.960000038146973	0.0	9.008333365122478	9.008333365122478	0.0	8.663332621256512	0.0	4.0	8.0	66.66666666666605	1.5231728920569783		9.0	9.0	-144.06014922199546	-148.31621085473125				0.0		0.0		0.0				2.0089319688552987	1.989019178440854	2.0089319688552987
2	2019-09-11	9.359999656677246	9.0600004196167	9.149999618530273	9.359999656677246	57094900.0	9.341423034667969	0.0				100.0	100.0	82.60031828734262	100.0		-0.0		97568613.44868505	0.5750404806001974	0.06567995500923614		1024.0699458523777	169672600.0	0.0904521249380439	2632208.1002489775	9.480475518719587	0.0	8.826191173378394	0.0	9.15333334604899	9.359999656677246	1.0	8.960000038146973	0.0	9.092222213745117	9.092222213745117	0.0	8.762221972147623	0.0	4.0	12.0	93.78873930226605	1.4198397367428512		9.044999599456787	9.044999599456787	-134.28700406443576	-143.63980859129944				0.0	9.050000190734863	1.0		0.0				4.464281437804529	2.378483078099647	2.406994585237765
3	2019-09-12	9.520000457763672	9.220000267028809	9.399999618530273	9.260000228881836	68115100.0	9.241621971130371	0.0				78.23681076080621	67.08861676340213	81.00485410407437	98.77835197653187		-32.91138323659787		47617511.24442721	0.20025220498969126	0.07046914383509713		1024.0699458523777	101557500.0	0.08379113123706165	646549.8614821306	9.477993135090488	0.0	8.882006998423916	0.0	9.180000066757202	9.359999656677246	0.0	8.960000038146973	0.0	9.15250007311503	9.15250007311503	0.0	8.829999844233194	0.0	4.0	12.0	83.62243989510714	1.3931730160346394		9.125	9.125	-131.7648926320965	-140.6710796014987				0.0		0.0	9.0600004196167	1.0				3.3482164001966463	-1.0741180434370001	-1.068369994266749
4	2019-09-13	9.449999809265137	9.140000343322754	9.3100004196167	9.34000015258789	45589400.0	9.33154010772705	0.0				81.67309052324684	77.21517764879717	81.43459813739977	97.80664107601807		-22.784822351202834		60853188.7444426	0.2147427888295935	-0.05099880375095382		1032.917193747937	147146900.0	0.05009364749005778	-333860.76818754314	9.507675433923772	0.0	8.916324733922906	0.0	9.21200008392334	9.359999656677246	0.0	8.960000038146973	0.0	9.184000078837077	9.184000078837077	0.0	8.864000002543131	0.0	4.0	12.0	59.77229086443588	1.3611729988685024		9.125	9.125	-128.73836342316687	-138.28453636583234				0.0		0.0	9.0600004196167	0.0				4.241072687757552	0.860219520243577	0.8639300402664807
5	2019-09-16	9.420000076293945	9.170000076293945	9.300000190734863	9.380000114440918	45748400.0	9.371503829956055	0.060166708628335286				83.10914921235006	82.27845809149468	75.52741750123134	97.02471476553549		-17.721541908505316		91962114.70574631	0.2794135206957416	0.0		1032.917193747937	192895300.0	0.040074917992046225	589784.9569958041	9.53754549091467	0.0	8.942454687104537	0.0	9.240000089009603	9.380000114440918	1.0	8.960000038146973	0.0	9.207222302754719	9.207222302754719	0.0	8.898888905843098	0.0	4.0	24.0	58.37987822274611	1.333172993782238		9.125	9.125	-126.0901513049113	-136.25213885567882				0.0		0.0	9.069200420379639	0.0				4.687500831538016	0.4273506640872782	0.4282651092028633
6	2019-09-17	9.390000343322754	9.25	9.300000190734863	9.359999656677246	37954000.0	9.351521492004395	0.08871434075491891				79.74443351978272	79.74675751108192	79.74679775045793	96.13023998284505		-20.253242488918076		113649782.29656653	0.309605364223735	0.009221747205938819		1030.714761290061	154941300.0	0.034932722861028324	114997.21083678739	9.545133625807692	0.0	8.969152142973696	0.0	9.257142884390694	9.380000114440918	0.0	8.960000038146973	0.0	9.22523816426595	9.22523816426595	0.0	8.940952346438452	0.0	4.0	24.0	58.14118962632915	1.3160301984011475		9.125	9.125	-124.46880308268345	-134.56880517382234				0.0		0.0	9.078216421127319	0.0				4.464281437804529	-0.213452140893855	-0.21322449381295794
7	2019-09-18	9.390000343322754	9.180000305175781	9.3100004196167	9.380000114440918	40270700.0	9.371503829956055	0.09425008296966553				80.59067564113631	82.27845809149468	81.43455789802378	95.39120954289201		-17.721541908505316		150085090.4482098	0.36844241256837434	-0.018251406833457554		1030.714761290061	195212000.0	0.02733499004753034	5123.2525420092425	9.553880411575904	0.0	8.991119664718042	0.0	9.272500038146973	9.380000114440918	1.0	8.960000038146973	0.0	9.236666758855183	9.236666758855183	0.0	8.961666663487751	0.0	4.0	24.0	46.71541078118213	1.3006730446448689		9.125	9.125	-123.01633903655222	-133.12474690666357				0.0		0.0	9.087052101860046	0.0				4.687500831538016	0.213452140893855	0.21368011215048277
8	2019-09-19	9.5	9.34000015258789	9.350000381469727	9.420000076293945	33935300.0	9.411467552185059	0.0818889194064667				82.19298271473954	87.3417385341922	83.12231804558961	94.7833742603303		-12.658261465807797		150085090.4482098	0.34010881945636057	0.0636503573795459		1035.1101291610573	229147300.0	0.03187441096403228	230763.76998453942	9.569909869991232	0.0	9.007867992557596	0.0	9.288888931274414	9.420000076293945	1.0	8.960000038146973	0.0	9.25703712745949	9.25703712745949	0.0	8.994814837420428	0.0	4.0	36.0	98.28738453921763	1.2842841515174275		9.125	9.125	-121.46629412580401	-131.82936326434586				0.0		0.0	9.095711068978119	0.0				5.133928975318458	0.4255321468759288	0.42643882052246784
9	2019-09-20	9.539999961853027	9.34000015258789	9.460000038146973	9.369999885559082	57530400.0	9.361512184143066	0.09100003242492782	9.369999885559082			73.9724135384004	79.01234713256184	82.87751458608291	93.58714034080252		-20.98765286743816	9.369999885559082	109813673.28491676	0.2201487027276331	0.006952832538291245		1035.1101291610573	171616900.0	0.029105346694505502	-160650.92665851282	9.568005426064852	0.0	9.025994627340909	0.0	9.29700002670288	9.420000076293945	0.0	8.960000038146973	0.0	9.273000081380207	9.273000081380207	0.0	9.017000039418537	0.0	4.0	36.0	88.30148363592663	1.276173056088961		9.177499771118164	9.134999752044678	-120.69915493637109	-128.28790575866853				0.0		0.0	9.10419685675383	0.0				4.575891134671273	-0.5322012650631258	-0.5307875831200071
